id,username,primary,secret,server,farm,count_views,count_comments,count_photos,count_videos,title,description,can_comment,date_create,date_update,photos,visibility_can_see_set,needs_interstitial
72177720307487311,The British Library,52816993389,da7e46cf36,65535,66,4565,0,71,0,Living with Machines exhibition photos,"Courtesy of the Living with Machines project. Photographs by David Lindsay

Find out more <a href=""https://livingwithmachines.ac.uk/living-with-machines-exhibition/"" rel=""noreferrer nofollow"">livingwithmachines.ac.uk/living-with-machines-exhibition/</a>",1,1681478516,1681478626,71,1,0
72157638544764936,The British Library,11142636685,372fbc7c19,3717,4,676763,0,115,0,Highlights from the Mechanical Curator,"The Digital Research Team at the British Library has curated this set of highlights from more than <a href=""http://www.flickr.com/photos/britishlibrary/"">one million public domain images</a> from within our digitised collection of over 65,000 books from the 17th, 18th and 19th centuries. 

For more information visit our <a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Digital Scholarship Blog</a>.

All images on our Flickr Commons account are <a href=""http://www.bl.uk/aboutus/terms/copyright/index.html"" rel=""noreferrer nofollow"">free to use and remix</a>.

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a> ",1,1386683057,1662104330,115,1,0
72157680728468600,The British Library,11244481994,0535d6ab8e,5510,6,149263,0,281,0,Women of the World,"A selection of 19th Century depictions of women around the world from the British Library's digitised historical books. 

To contribute and grow this album, please tag any similar images you find with &quot;<strong>WOW</strong>&quot; so we can include them!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1492002241,1662104789,281,1,0
72157639804990613,The British Library,11052013634,5bcd755d2e,2848,3,112710,0,313,0,Ships & Boats,"A selection of ships, boats and sailing vessels, from the British Library's Mechanical Curator Collection, discovered and tagged by the community.

Please tag any similar images you find with &quot;<strong>Ship</strong>&quot;!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1389806254,1662104814,313,1,0
72157638906393085,The British Library,11289228893,ee995ca3f4,3712,4,536238,0,1145,0,Children's Book Illustration,"A selection of Children's Book Illustrations, from the British Library's Mechanical Curator Collection, discovered and tagged by the community.

Please tag any similar portraits you find with &quot;<strong>children's book illustration</strong>&quot;!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1387706785,1662104330,1145,1,0
72157639959761466,The British Library,11202990983,c98781fa7f,2829,3,292504,0,940,0,Book Covers,"A beautiful array of book covers and title pages from the British Library's Mechanical Curator Collection, discovered and tagged by the community.

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1390219748,1662104330,940,1,0
72157641857515565,The British Library,11133339996,256c434b92,2859,3,523475,0,1393,0,Flora,"A selection of flora images from the British Library's Mechanical Curator Collection, discovered and tagged by the community.

Please tag any similar images you find with &quot;<strong>flora</strong>&quot;!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1393946516,1662104330,1393,1,0
72157640720343474,The British Library,11156885235,0397c0098c,5489,6,153910,0,173,0,Advertisements,"From:
<a href=""http://www.flickr.com/photos/britishlibrary/tags/advertisement"">www.flickr.com/photos/britishlibrary/tags/advertisement</a>

A selection of advertisements from the British Library's Mechanical Curator Collection, discovered and tagged by the community.

Please tag any similar portraits you find with &quot;<strong>advertisement</strong>&quot;!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1391944508,1662104330,173,1,0
72157672074712488,The British Library,11113337204,a6c31f617d,3750,4,94078,0,199,0,Cats,"In honour of the <a href=""https://www.bl.uk/events/cats-on-the-page"" rel=""noreferrer nofollow"">#BLCats exhibition</a>, a selection of 19th Century depictions of  cats from the British Library's public domain collection. 

To contribute and grow this album, please tag any similar images you find with &quot;<strong>cat</strong>&quot; so we can include them!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1533722301,1662104336,199,1,0
72157638850077096,The British Library,11051801544,57f45aeec8,7290,8,517694,0,435,0,Space & SciFi,"A selection of space, astronomy &amp; science fiction images from the British Library's Mechanical Curator Collection, discovered and tagged by the community.

Please tag any similar images you find with &quot;<strong>space</strong>&quot;!

<a href=""http://britishlibrary.typepad.co.uk/digital-scholarship/2013/12/a-million-first-steps.html"" rel=""noreferrer nofollow"">Visit our blog for more information on our 1 Million public domain Flickr Commons upload.</a>",1,1387545692,1662104330,435,1,0
