id,tag
0,bldigital
0,date1897
0,pubplacelondon
0,publicdomain
0,sysnum002369126
0,manningsamuellld
0,large
0,vol0
0,page132
0,mechanicalcurator
0,imagesfrombook002369126
0,imagesfromvolume0023691260
0,sherlocknet:tag=print
0,sherlocknet:tag=germane
0,sherlocknet:tag=short
0,sherlocknet:tag=sven
0,sherlocknet:tag=iranian
0,sherlocknet:tag=land
0,sherlocknet:tag=folk
0,sherlocknet:tag=holland
0,sherlocknet:tag=work
0,sherlocknet:tag=people
0,sherlocknet:tag=year
0,sherlocknet:tag=slag
0,sherlocknet:tag=strain
0,sherlocknet:tag=stand
0,sherlocknet:tag=rude
0,sherlocknet:tag=england
0,sherlocknet:tag=store
0,sherlocknet:tag=success
0,sherlocknet:category=organism
0,wow
0,history
0,f
1,bldigital
1,date1896
1,pubplacelondon
1,publicdomain
1,sysnum003821060
1,vuilliergaston
1,large
1,vol0
1,page371
1,mechanicalcurator
1,imagesfrombook003821060
1,imagesfromvolume0038210600
1,sherlocknet:tag=ava
1,sherlocknet:tag=kong
1,sherlocknet:tag=language
1,sherlocknet:tag=differ
1,sherlocknet:tag=land
1,sherlocknet:tag=greek
1,sherlocknet:tag=side
1,sherlocknet:tag=tribe
1,sherlocknet:tag=history
1,sherlocknet:tag=savage
1,sherlocknet:tag=race
1,sherlocknet:tag=fine
1,sherlocknet:tag=village
1,sherlocknet:tag=polite
1,sherlocknet:tag=public
1,sherlocknet:tag=european
1,sherlocknet:category=organism
1,widow
1,woman
1,headscarf
1,dress
1,wow
2,bldigital
2,date1899
2,pubplacelondon
2,publicdomain
2,sysnum000495551
2,brownrobertmaphd
2,small
2,vol03
2,page186
2,mechanicalcurator
2,imagesfrombook000495551
2,imagesfromvolume00049555103
2,sherlocknet:tag=nation
2,sherlocknet:tag=william
2,sherlocknet:tag=dell
2,sherlocknet:tag=european
2,sherlocknet:tag=tartar
2,sherlocknet:tag=iranian
2,sherlocknet:tag=local
2,sherlocknet:tag=asia
2,sherlocknet:tag=opera
2,sherlocknet:tag=posit
2,sherlocknet:tag=nell
2,sherlocknet:tag=europe
2,sherlocknet:tag=england
2,sherlocknet:tag=major
2,sherlocknet:tag=tongue
2,sherlocknet:tag=race
2,sherlocknet:tag=special
2,sherlocknet:category=organism
2,wow
3,bldigital
3,date1884
3,pubplacelondon
3,publicdomain
3,sysnum002790606
3,patcholivepseudiesarahsharphamer
3,large
3,vol0
3,page41
3,mechanicalcurator
3,imagesfrombook002790606
3,imagesfromvolume0027906060
3,spanishwatercarriersmokingacigarillo
3,spanishwatercarriersmokingacigarette
3,woman
3,sherlocknet:tag=heavy
3,sherlocknet:tag=matter
3,sherlocknet:tag=main
3,sherlocknet:tag=power
3,sherlocknet:tag=life
3,sherlocknet:tag=hand
3,sherlocknet:tag=encore
3,sherlocknet:tag=round
3,sherlocknet:tag=sans
3,sherlocknet:tag=noble
3,sherlocknet:tag=gumbo
3,sherlocknet:tag=poor
3,sherlocknet:tag=court
3,sherlocknet:tag=author
3,sherlocknet:tag=point
3,sherlocknet:category=organism
3,wow
4,bldigital
4,date1893
4,pubplacetunis
4,publicdomain
4,sysnum003688769
4,large
4,vol0
4,page37
4,mechanicalcurator
4,imagesfrombook003688769
4,imagesfromvolume0036887690
4,portrait
4,sherlocknet:tag=main
4,sherlocknet:tag=apr
4,sherlocknet:tag=lord
4,sherlocknet:tag=london
4,sherlocknet:tag=encore
4,sherlocknet:tag=sans
4,sherlocknet:tag=tout
4,sherlocknet:tag=mange
4,sherlocknet:tag=magyar
4,sherlocknet:tag=side
4,sherlocknet:tag=pass
4,sherlocknet:tag=desire
4,sherlocknet:tag=question
4,sherlocknet:tag=people
4,sherlocknet:tag=land
4,sherlocknet:tag=credo
4,sherlocknet:tag=paul
4,sherlocknet:tag=nate
4,sherlocknet:tag=risk
4,sherlocknet:category=organism
4,wow
5,bldigital
5,date1883
5,pubplaceparis
5,publicdomain
5,sysnum000681574
5,chevrierjules
5,large
5,vol0
5,page183
5,mechanicalcurator
5,imagesfrombook000681574
5,imagesfromvolume0006815740
5,sherlocknet:tag=life
5,sherlocknet:tag=side
5,sherlocknet:tag=hand
5,sherlocknet:tag=form
5,sherlocknet:tag=place
5,sherlocknet:tag=moment
5,sherlocknet:tag=young
5,sherlocknet:tag=london
5,sherlocknet:tag=night
5,sherlocknet:tag=force
5,sherlocknet:tag=heart
5,sherlocknet:tag=girl
5,sherlocknet:tag=lady
5,sherlocknet:tag=poor
5,sherlocknet:tag=consider
5,sherlocknet:tag=woman
5,sherlocknet:category=organism
5,wow
6,bldigital
6,date1891
6,pubplacelondonnewyorkprinted
6,publicdomain
6,sysnum001948102
6,kennangeorge
6,medium
6,vol02
6,page292
6,mechanicalcurator
6,imagesfrombook001948102
6,imagesfromvolume00194810202
6,portrait
6,woman
6,lady
6,girl
6,madam
6,sukhomlína
6,prisoner
6,russia
6,russian
6,1888
6,sherlocknet:tag=history
6,sherlocknet:tag=england
6,sherlocknet:tag=main
6,sherlocknet:tag=general
6,sherlocknet:tag=john
6,sherlocknet:tag=france
6,sherlocknet:tag=life
6,sherlocknet:tag=nation
6,sherlocknet:tag=posit
6,sherlocknet:tag=roger
6,sherlocknet:tag=liberty
6,sherlocknet:tag=erst
6,sherlocknet:tag=hand
6,sherlocknet:tag=rome
6,sherlocknet:tag=condition
6,sherlocknet:tag=religious
6,sherlocknet:tag=power
6,sherlocknet:tag=dine
6,sherlocknet:category=organism
6,wow
7,bldigital
7,date1885
7,pubplacelondon
7,publicdomain
7,sysnum003626847
7,thomsonjoseph
7,medium
7,vol0
7,page111
7,mechanicalcurator
7,imagesfrombook003626847
7,imagesfromvolume0036268470
7,masai
7,eastafrica
7,woman
7,wateita
7,unidentifiedwoman
7,traditionaldress
7,fashion
7,portrait
7,sherlocknet:tag=nature
7,sherlocknet:tag=force
7,sherlocknet:tag=land
7,sherlocknet:tag=public
7,sherlocknet:tag=material
7,sherlocknet:tag=respect
7,sherlocknet:tag=general
7,sherlocknet:tag=citizen
7,sherlocknet:tag=london
7,sherlocknet:tag=manner
7,sherlocknet:tag=rich
7,sherlocknet:tag=true
7,sherlocknet:tag=consul
7,sherlocknet:tag=honour
7,sherlocknet:tag=main
7,sherlocknet:tag=open
7,sherlocknet:category=organism
7,wow
8,bldigital
8,date1897
8,pubplacelondon
8,publicdomain
8,sysnum002550727
8,morierjamesjustinian
8,large
8,vol0
8,page225
8,mechanicalcurator
8,imagesfrombook002550727
8,imagesfromvolume0025507270
8,sherlocknet:tag=kong
8,sherlocknet:tag=whole
8,sherlocknet:tag=work
8,sherlocknet:tag=ceremony
8,sherlocknet:tag=fine
8,sherlocknet:tag=smoke
8,sherlocknet:tag=warm
8,sherlocknet:tag=country
8,sherlocknet:tag=form
8,sherlocknet:tag=favourite
8,sherlocknet:tag=persian
8,sherlocknet:tag=slot
8,sherlocknet:tag=mange
8,sherlocknet:tag=mari
8,sherlocknet:tag=tribe
8,sherlocknet:tag=illustrate
8,sherlocknet:category=organism
8,wow
9,bldigital
9,date1896
9,pubplaceparis
9,publicdomain
9,sysnum000601544
9,capusguillaume
9,small
9,vol0
9,page289
9,mechanicalcurator
9,imagesfrombook000601544
9,imagesfromvolume0006015440
9,tatouage
9,tatouagedesfemmeschretiennes
9,tatoos
9,christians
9,bosnia
9,women
9,sherlocknet:tag=bosnia
9,sherlocknet:tag=semite
9,sherlocknet:tag=stand
9,sherlocknet:tag=fine
9,sherlocknet:tag=egypt
9,sherlocknet:tag=european
9,sherlocknet:tag=lott
9,sherlocknet:tag=ocean
9,sherlocknet:tag=source
9,sherlocknet:tag=city
9,sherlocknet:tag=tet
9,sherlocknet:tag=grand
9,sherlocknet:tag=nature
9,sherlocknet:tag=bell
9,sherlocknet:tag=room
9,sherlocknet:category=organism
9,wow
10,bldigital
10,date1898
10,pubplaceparis
10,publicdomain
10,sysnum001743447
10,hourstémileaugusteléon
10,medium
10,vol0
10,page83
10,sherlocknet:tag=european
10,sherlocknet:tag=grand
10,sherlocknet:tag=house
10,sherlocknet:tag=native
10,sherlocknet:tag=populate
10,sherlocknet:tag=avenue
10,sherlocknet:tag=relate
10,sherlocknet:tag=mile
10,sherlocknet:tag=environs
10,sherlocknet:tag=import
10,sherlocknet:tag=region
10,sherlocknet:tag=tout
10,sherlocknet:tag=europe
10,sherlocknet:tag=lady
10,sherlocknet:tag=africa
10,sherlocknet:tag=style
10,sherlocknet:tag=dire
10,sherlocknet:tag=american
10,sherlocknet:category=organism
10,wow
11,bldigital
11,date1893
11,pubplacelondon
11,publicdomain
11,sysnum000495550
11,brownrobertmaphd
11,medium
11,vol02
11,page153
11,mechanicalcurator
11,imagesfrombook000495550
11,imagesfromvolume00049555002
11,sherlocknet:tag=land
11,sherlocknet:tag=indian
11,sherlocknet:tag=admire
11,sherlocknet:tag=side
11,sherlocknet:tag=right
11,sherlocknet:tag=nature
11,sherlocknet:tag=asia
11,sherlocknet:tag=himalaya
11,sherlocknet:tag=august
11,sherlocknet:tag=christian
11,sherlocknet:tag=plant
11,sherlocknet:tag=pagan
11,sherlocknet:tag=material
11,sherlocknet:tag=aryan
11,sherlocknet:tag=ava
11,sherlocknet:tag=eastern
11,sherlocknet:category=organism
11,wow
12,bldigital
12,date1892
12,pubplacelondon
12,publicdomain
12,sysnum003363586
12,sheldonmfrench
12,medium
12,vol0
12,page59
12,mechanicalcurator
12,imagesfrombook003363586
12,imagesfromvolume0033635860
12,sherlocknet:tag=head
12,sherlocknet:tag=land
12,sherlocknet:tag=jack
12,sherlocknet:tag=hand
12,sherlocknet:tag=beauty
12,sherlocknet:tag=bloc
12,sherlocknet:tag=work
12,sherlocknet:tag=place
12,sherlocknet:tag=arab
12,sherlocknet:tag=water
12,sherlocknet:tag=rest
12,sherlocknet:tag=charm
12,sherlocknet:tag=blot
12,sherlocknet:tag=river
12,sherlocknet:tag=perfect
12,sherlocknet:category=organism
12,wow
13,bldigital
13,date1892
13,pubplacelondon
13,publicdomain
13,sysnum002670418
13,normanhenryrighthonsirbart
13,small
13,vol0
13,page204
13,mechanicalcurator
13,imagesfrombook002670418
13,imagesfromvolume0026704180
13,sherlocknet:tag=whole
13,sherlocknet:tag=history
13,sherlocknet:tag=round
13,sherlocknet:tag=general
13,sherlocknet:tag=england
13,sherlocknet:tag=william
13,sherlocknet:tag=perfect
13,sherlocknet:tag=habit
13,sherlocknet:tag=lady
13,sherlocknet:tag=number
13,sherlocknet:tag=king
13,sherlocknet:tag=common
13,sherlocknet:tag=church
13,sherlocknet:tag=nature
13,sherlocknet:tag=france
13,sherlocknet:tag=province
13,sherlocknet:category=organism
13,wow
14,bldigital
14,date1897
14,pubplacelondon
14,publicdomain
14,sysnum000084717
14,andrewselishabenjamin
14,medium
14,vol02
14,page72
14,eskimo
14,woman
14,sherlocknet:tag=nation
14,sherlocknet:tag=george
14,sherlocknet:tag=author
14,sherlocknet:tag=govern
14,sherlocknet:tag=polite
14,sherlocknet:tag=force
14,sherlocknet:tag=person
14,sherlocknet:tag=office
14,sherlocknet:tag=democrat
14,sherlocknet:tag=till
14,sherlocknet:tag=year
14,sherlocknet:tag=power
14,sherlocknet:tag=public
14,sherlocknet:tag=house
14,sherlocknet:tag=england
14,sherlocknet:tag=major
14,sherlocknet:tag=france
14,sherlocknet:category=organism
14,wow
15,bldigital
15,date1894
15,pubplacelondon
15,publicdomain
15,sysnum002531607
15,montbardgeorges
15,medium
15,vol0
15,page121
15,sherlocknet:tag=young
15,sherlocknet:tag=costume
15,sherlocknet:tag=chapter
15,sherlocknet:tag=people
15,sherlocknet:tag=nous
15,sherlocknet:tag=tout
15,sherlocknet:tag=point
15,sherlocknet:tag=grand
15,sherlocknet:tag=side
15,sherlocknet:tag=milieu
15,sherlocknet:tag=arab
15,sherlocknet:tag=white
15,sherlocknet:tag=gen
15,sherlocknet:tag=legend
15,sherlocknet:tag=england
15,sherlocknet:category=organism
15,wow
16,bldigital
16,date1894
16,pubplaceparis
16,publicdomain
16,sysnum000052264
16,alisharrypseudiejuleshippolytepercher
16,medium
16,vol0
16,page323
16,mechanicalcurator
16,imagesfrombook000052264
16,imagesfromvolume0000522640
16,beauty
16,vogue
16,fashion
16,jewelry
16,dress
16,sherlocknet:tag=africa
16,sherlocknet:tag=zanzibar
16,sherlocknet:tag=arab
16,sherlocknet:tag=egypt
16,sherlocknet:tag=expedite
16,sherlocknet:tag=force
16,sherlocknet:tag=hand
16,sherlocknet:tag=name
16,sherlocknet:tag=stanley
16,sherlocknet:tag=march
16,sherlocknet:tag=egyptian
16,sherlocknet:tag=greek
16,sherlocknet:tag=green
16,sherlocknet:tag=london
16,sherlocknet:tag=western
16,sherlocknet:category=organism
16,wow
17,bldigital
17,date1895
17,pubplacelondon
17,publicdomain
17,sysnum000977617
17,doylearthurconansir
17,medium
17,vol0
17,page353
17,sherlocknet:tag=kong
17,sherlocknet:tag=dell
17,sherlocknet:tag=bosnia
17,sherlocknet:tag=girl
17,sherlocknet:tag=beauty
17,sherlocknet:tag=arab
17,sherlocknet:tag=zara
17,sherlocknet:tag=name
17,sherlocknet:tag=year
17,sherlocknet:tag=circle
17,sherlocknet:tag=koran
17,sherlocknet:tag=state
17,sherlocknet:tag=public
17,sherlocknet:tag=kink
17,sherlocknet:tag=europa
17,sherlocknet:tag=george
17,sherlocknet:tag=chief
17,sherlocknet:tag=kite
17,sherlocknet:tag=wild
17,sherlocknet:category=organism
17,wow
18,bldigital
18,date1894
18,pubplacelondon
18,publicdomain
18,sysnum002531607
18,montbardgeorges
18,small
18,vol0
18,page15
18,mechanicalcurator
18,imagesfrombook002531607
18,imagesfromvolume0025316070
18,sherlocknet:tag=neck
18,sherlocknet:tag=fort
18,sherlocknet:tag=right
18,sherlocknet:tag=sous
18,sherlocknet:tag=sloven
18,sherlocknet:tag=john
18,sherlocknet:tag=milieu
18,sherlocknet:tag=interest
18,sherlocknet:tag=marshal
18,sherlocknet:tag=rock
18,sherlocknet:tag=place
18,sherlocknet:tag=petite
18,sherlocknet:tag=europe
18,sherlocknet:tag=harry
18,sherlocknet:tag=mule
18,sherlocknet:category=organism
18,wow
19,bldigital
19,date1893
19,pubplacelondon
19,publicdomain
19,sysnum002066519
19,landorarnoldhenrysavage
19,medium
19,vol0
19,page84
19,mechanicalcurator
19,imagesfrombook002066519
19,imagesfromvolume0020665190
19,sherlocknet:tag=main
19,sherlocknet:tag=house
19,sherlocknet:tag=detach
19,sherlocknet:tag=high
19,sherlocknet:tag=village
19,sherlocknet:tag=stat
19,sherlocknet:tag=nation
19,sherlocknet:tag=year
19,sherlocknet:tag=white
19,sherlocknet:tag=premier
19,sherlocknet:tag=black
19,sherlocknet:tag=early
19,sherlocknet:tag=kaiser
19,sherlocknet:tag=stand
19,sherlocknet:tag=settlement
19,sherlocknet:category=organism
19,wow
20,bldigital
20,date1892
20,pubplacelondon
20,publicdomain
20,sysnum003664244
20,tracyalbertpseudiealbertleffingwell
20,medium
20,vol0
20,page213
20,mechanicalcurator
20,imagesfrombook003664244
20,imagesfromvolume0036642440
20,sherlocknet:tag=ava
20,sherlocknet:tag=japan
20,sherlocknet:tag=white
20,sherlocknet:tag=minute
20,sherlocknet:tag=european
20,sherlocknet:tag=arab
20,sherlocknet:tag=avail
20,sherlocknet:tag=year
20,sherlocknet:tag=station
20,sherlocknet:tag=numeric
20,sherlocknet:tag=london
20,sherlocknet:tag=manner
20,sherlocknet:tag=life
20,sherlocknet:tag=hand
20,sherlocknet:tag=encore
